tweet_id,tweet_created,airline_sentiment,is_reply,reply_count,retweet_count,text,tweet_coord,tweet_location,user_timezone,newairline_sentiment,users,hashtags
926857871916183553,2017-11-04 17:05:11,positive,True,0,0,"@iberia @lavecinarubia si ,por favor las declaraciones de amor entre los #rubijarena no pueden quedarse en una ma… ",,,,positive,iberia|lavecinarubia,rubijarena
932856751099142144,2017-11-21 06:22:35,positive,False,0,0,"con @iberia, mi destino  un solo click. ¡deseadme suee! #holacolombia. hola 79 destinos europeos al mejor precio ",,,,neutral,iberia,holacolombia
931611760829792256,2017-11-17 19:55:26,neutral,False,0,0,"con @iberia, mi destino  un solo click. ¡deseadme suee! #holaargentina. hola 79 destinos europeos al mejor precio ",,,,neutral,iberia,holaargentina
941121849366368258,2017-12-14 01:45:08,positive,False,0,0,"iberia ampliará ofea de asientos  méxico, argentina  colombia #turismo #méxico",,,Mexico City,positive,,turismo|méxico
937424103488843776,2017-12-03 20:51:37,negative,True,0,0,@iberia no te preocupes @iberia esperaré  que me toque algo en el #soeodenavidad #cmuoc ,,,Madrid,negative,iberia|iberia,soeodenavidad|cmuoc
941366647897681922,2017-12-14 17:57:53,positive,False,0,0,90 años 🎂 muchos vuelos 🛫 ¡muchas felicidades! 😉 #iberia #90aniversario #flotaiberia #historia… ,,,Amsterdam,positive,,iberia|flotaiberia|historia
936704685771317248,2017-12-01 21:12:54,negative,True,0,0,"@iberia ""arrojen sus maletas por aquí que no hay sitio dentro de la cabina"" #vayaputamierdade aerolinea ",,,,negative,iberia,vayaputamierdade
923942886063988736,2017-10-27 16:02:04,positive,False,0,0,"selección de 100 #tripulantes de cabina, en #sevilla, #málaga, #granada... para la compañía #ryanair ",,,Madrid,positive,,tripulantes|sevilla|málaga|granada|ryanair
934390882811416576,2017-11-25 11:58:41,negative,True,0,0,"@sninobecerra quizás sea sólo en compañias de prácticas éticas dudosas, como el ejemplo  usted pone de #ryanair",,,Paris,negative,sninobecerra,ryanair
936524627664351232,2017-12-01 09:17:25,neutral,True,0,0,@ryanair #travelthursday alicante,,,,neutral,ryanair,travelthursday
927201899434201088,2017-11-05 15:52:14,neutral,False,0,0,"#ahora | en breve pae @uruguay rumbo  varso para jugar el primer amistoso con polonia. vuelo de iberia, escal… ",,,,neutral,uruguay,ahora
944417871899357185,2017-12-23 04:02:21,negative,False,0,0,"así fue el accidente del vuelo 5022 de spanair, el más letal en españa en  décadas #video ",,,Bogota,negative,,video
944319999686184961,2017-12-22 21:33:27,positive,False,0,0,iberia express ofrece descuentos del 25% en sus vuelos utilizando el número del gordo de la lotería #jes #larazon,,,,positive,,jes|larazon
927652461246058497,2017-11-06 21:42:36,neutral,True,0,0,@iberia #holaargentina ¡que nerviosssss  que ganas! 😍😍🍀❤️ @iberia #argentinaconiberia ,,,Amsterdam,neutral,iberia|iberia,holaargentina|argentinaconiberia
933406044285521921,2017-11-22 18:45:17,neutral,True,0,0,@mad_c2 @iberia iba para madrid en el #ib3879 pero veíamos desde la terminal como el anterior no conseguía quedarse en tierra,,,Madrid,neutral,mad_c2|iberia,ib3879
